Manager / Sr. Manager / AVP - Big Data Analytics,https://www.naukri.com/job-listings-Manager-Sr-Manager-AVP-Big-Data-Analytics-Talentex-Services-Pvt-Ltd-Gurgaon-7-to-12-years-011018003339?src=jobsearchDesk&sid=15385956511291&xp=1&px=1,Talentex Services Pvt Ltd.,Gurgaon,7-12 yrs,"Big Data Analytics, Big Data, Big Data Engineer, Big Data Consultant...","The person should be able to liaise with clients, manage elaborate dialogues with them and be able to ...","    15,00,000 - 30,00,000 P.A.  ",1 day ago
Lead Data Analytics ( Female ) - GGN ( Afternoon Shift with CAB ),https://www.naukri.com/job-listings-Lead-Data-Analytics-Female-GGN-Afternoon-Shift-with-CAB-Experteye-Consulting-Delhi-NCR-5-to-9-years-280618008722?src=jobsearchDesk&sid=15385956511291&xp=2&px=1,Experteye Consulting,Delhi NCR,5-9 yrs,"Logistic Regression, Linear Regression, SAS, Factor Analysis...",None,"    8,50,000 - 15,00,000 P.A.  ",1 day ago
Consultant - Data Analytics - Machine Learning,https://www.naukri.com/job-listings-Consultant-Data-Analytics-Machine-Learning-Protiviti-Bengaluru-Delhi-NCR-3-to-4-years-011018006390?src=jobsearchDesk&sid=15385956511291&xp=3&px=1,Protiviti,"Bengaluru, Delhi NCR",3-4 yrs,"SQL, Business Intelligence, R, Business Development, Data Analytics...","- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",  Not disclosed ,3 days ago
Consultant - Data Analytics - Machine Learning,https://www.naukri.com/job-listings-Consultant-Data-Analytics-Machine-Learning-Protiviti-Bengaluru-Delhi-NCR-3-to-4-years-260918900098?src=jobsearchDesk&sid=15385956511291&xp=4&px=1,Protiviti,"Bengaluru, Delhi NCR",3-4 yrs,"SQL, Business Intelligence, Data Analytics, R, Data Warehousing...","- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",  Not disclosed ,6 days ago
Leader - Data Analytics,https://www.naukri.com/job-listings-Leader-Data-Analytics-Ameriprise-Gurgaon-7-to-8-years-270918900653?src=jobsearchDesk&sid=15385956511291&xp=5&px=1,Ameriprise,Gurgaon,7-8 yrs,"Leader - Data Analytics, Analyst",&bull; Experience of minimum 3 years in SAS is mandate;&bull; Experience of minimum 3 years in ...,  Not disclosed ,7 days ago
"Data Analyst / Data Science - Excel,sql,sas,python, R - Analytics Team",https://www.naukri.com/job-listings-Data-Analyst-Data-Science-Excel-sql-sas-python-R-Analytics-Team-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-270918000257?src=jobsearchDesk&sid=15385956511291&xp=6&px=1,SLA Consultants India,"Delhi NCR, Gurgaon, Noida",0-5 yrs,"data analyst, reporting analyst, sas, statistics, sas programmer...",None,"    2,00,000 - 4,25,000 P.A.  ",7 days ago
Data Analytics Consultant: Virtual,https://www.naukri.com/job-listings-Data-Analytics-Consultant-Virtual-Not-Mentioned-Delhi-NCR-Jaipur-Jodhpur-0-to-3-years-240918008671?src=jobsearchDesk&sid=15385956511291&xp=7&px=1,Not Mentioned,"Delhi NCR, Jaipur, Jodhpur",0-3 yrs,"Logistic Regression, Statistical Modeling, SAS SQL, Time Series, Excel...",Candidates may have the opportunity to work out of their home so this job may be ideal for someone who ...,"    1,50,000 - 3,50,000 P.A. Salary commensurate with exper...  ",10 days ago
Senior Analyst - Data Analytics (tableau & SAS Visual Analytics),https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-tableau-SAS-Visual-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-7-years-210918008881?src=jobsearchDesk&sid=15385956511291&xp=8&px=1,Sun Life India Service Centre Pvt. Ltd.,Gurgaon,4-7 yrs,"Data Mining, SAS Enterprise Guide, Data Analytics, Business Intelligence...",None,"    5,50,000 - 8,50,000 P.A.  ",13 days ago
Big Data Analytics Role - Insurance Domain - BFS,https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-240918900537?src=jobsearchDesk&sid=15385956511291&xp=9&px=1,Nacre Outsourcing,Gurgaon,6-10 yrs,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",- Should be able to understand business needs and apply analytical concepts to generate actionable ...,  Not disclosed ,8 days ago
SAS Model Developer - Analytics Consulting Firm,https://www.naukri.com/job-listings-SAS-Model-Developer-Analytics-Consulting-Firm-Nacre-Outsourcing-Gurgaon-Noida-5-to-10-years-011018900899?src=jobsearchDesk&sid=15385956511291&xp=10&px=1,Nacre Outsourcing,"Gurgaon, Noida",5-10 yrs,"Excel, SQL, Data Analysis, Segmentation, SAS, Data Mining, SPSS...",- Proven working experience as a data analyst or business data analyst;- Knowledge of statistics and ...,  Not disclosed ,1 day ago
